email,NAME,PHONE,city,SERVICE_TYPE,LANGUAGE
ljanuszewicz0@google.ru,Lezley Januszewicz,687-900-2821,Jerusalem,Air B&B,Arabic
mstickel1@disqus.com,Morna Stickel,128-311-4240,Haifa,Post Construction,Amharic
rboomes2@princeton.edu,Ramonda Boomes,248-571-4809,Haifa,offices,Amharic
cdoerling3@weebly.com,Charlene Doerling,236-342-9799,Haifa,Villas,Hebrew
emattevi4@state.tx.us,Elissa Mattevi,160-471-9831,Ashdod,Villas,Amharic
gscarbarrow5@theguardian.com,Gerry Scarbarrow,676-232-7108,Ashdod,Apartments,Russian
klethebridge6@mac.com,Kriste Lethebridge,233-573-8682,Haifa,Villas,English
nmusgrove7@t.co,Nadya Musgrove,720-140-5351,Beer Sheva,offices,Russian
cgrimble8@ucsd.edu,Carena Grimble,374-701-2981,Haifa,Apartments,Russian
ckabsch9@ask.com,Crin Kabsch,397-520-9804,Haifa,Post Construction,English
ffidelera@ustream.tv,Feliks Fideler,447-452-5991,Jerusalem,Post Construction,Hebrew
mmallonb@dell.com,Marcille Mallon,125-431-3096,Haifa,offices,Amharic
besbergerc@wp.com,Burl Esberger,918-370-7992,Tel Aviv,Post Construction,English
cjoustd@cyberchimps.com,Cosimo Joust,618-913-4562,Ashdod,offices,Hebrew
clippoe@ft.com,Cariotta Lippo,372-124-0993,Ashdod,Post Construction,Hebrew
gwarboysf@ucsd.edu,Germana Warboys,157-764-2791,Haifa,Air B&B,English
jsolleyg@purevolume.com,Joyann Solley,991-443-0746,Haifa,All,Arabic
jviseh@cpanel.net,Jeddy Vise,940-272-5321,Beer Sheva,Post Construction,Hebrew
wyitzovitzi@tmall.com,Worthy Yitzovitz,441-359-8686,Tel Aviv,Air B&B,Amharic
rshernockj@de.vu,Rozalin Shernock,920-110-6638,Jerusalem,Villas,Russian
lelvishk@gmpg.org,Louisa Elvish,881-420-5147,Beer Sheva,Post Construction,All
amostonl@howstuffworks.com,Ashien Moston,909-455-3792,Ashdod,Air B&B,All
vygoum@paypal.com,Vicky Ygou,100-237-3989,Tel Aviv,All,English
vtroppmannn@eepurl.com,Vale Troppmann,211-403-0553,Beer Sheva,offices,Arabic
kvirro@indiatimes.com,Kristen Virr,602-242-5678,Haifa,Post Construction,Arabic
chamelynp@squidoo.com,Clare Hamelyn,486-585-3458,Haifa,Villas,Amharic
yecklyq@squidoo.com,Yuma Eckly,300-602-4825,Jerusalem,All,Arabic
kprobetsr@purevolume.com,Kayley Probets,333-195-3186,Tel Aviv,Air B&B,Amharic
cnorthages@wp.com,Cordelie Northage,274-469-6758,Jerusalem,Apartments,Russian
tcoleridget@edublogs.org,Tresa Coleridge,850-877-2699,Tel Aviv,Villas,Amharic
imccowenu@meetup.com,Idelle McCowen,407-595-6082,Ashdod,buildings,Amharic
jkermathv@cloudflare.com,Jacky Kermath,880-243-9385,Haifa,Villas,Russian
froycroftw@ft.com,Filbert Roycroft,205-150-7679,Jerusalem,Apartments,English
mseymarkx@google.pl,Marsh Seymark,314-620-5886,Haifa,offices,Hebrew
vdey@seesaa.net,Vi De Ath,685-746-4761,Jerusalem,offices,Russian
aodohertyz@exblog.jp,Augustina O'Doherty,364-449-9142,Haifa,buildings,Russian
